Unnamed: 0,التكلفة,العدد,المؤشر,التحويلات,الهدف,المجال,الوصف,البند,القناة,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,0.8,1,الظهور,تطبيق,زيادة المبيعات,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة تويتر,تويتر,استثمار وتداول,,,
,0.05,1,المشاهدات,حسابات التواصل الاجتماعي,رفع الوعي,عام,إعلان مروج لزيادة المشاهدات,الإعلان عبر منصة تويتر,تويتر,منتجات تجزئة,,,تويتر
,0.05,1,النقرات,حسابات التواصل الاجتماعي,تعزيز العلامة التجارية,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة تويتر,تويتر,متاجر,,,سناب شات
,0.09,1,الظهور,موقع إلكتروني,زيادة المبيعات,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة سناب شات,سناب شات,تجميل,,,تيك توك
,0.09,1,المشاهدات,موقع إلكتروني,زيادة المبيعات,عام,إعلان مروج لزيادة المشاهدات,الإعلان عبر منصة سناب شات,سناب شات,رياضة,,,فيس بوك
,0.09,1,النقرات,حسابات التواصل الاجتماعي,رفع الوعي,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة سناب شات,سناب شات,عقارات,,,يوتيوب
,0.06,1,تحميل التطبيق,,,عام,إعلان مروج لتحميل التطبيق,الإعلان عبر منصة سناب شات,سناب شات,سيارات,,,جوجل
,0.06,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة فيس بوك,فيس بوك,خدمات بنكية,,,لينكد ان
,0.06,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة فيس بوك,فيس بوك,فعاليات وترفيه,,,جاكو
,0.06,1,المشاهدات,,,عام,إعلان مروج لزيادة المشاهدات,الإعلان عبر منصة فيس بوك,فيس بوك,مطاعم وطبخ,,,محرك بحث جوجل
,0.06,1,تحميل التطبيق,,,عام,إعلان مروج لتحميل التطبيق,الإعلان عبر منصة فيس بوك,فيس بوك,خدمات حكومية,,,محرك بحث ابل
,0.5,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة تيك توك,تيك توك,عام,,,
,0.25,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة تيك توك,تيك توك,رسمي,,,
,0.1,1,المشاهدات,,,عام,إعلان مروج لزيادة المشاهدات ,الإعلان عبر منصة تيك توك,تيك توك,عطور وبخور,,,
,0.2,1,تحميل التطبيق,,,عام,إعلان مروج لتحميل التطبيق,الإعلان عبر منصة تيك توك,تيك توك,موروث,,,إعلان مروج لزيادة الظهور
,0.23,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة يوتيوب,يوتيوب,ملابس وموضه,,,إعلان مروج لزيادة النقرات 
,0.09,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة يوتيوب,يوتيوب,وظائف,,المشاهدات,إعلان مروج لزيادة المشاهدات 
,0.08,1,المشاهدات,,,عام,إعلان مروج لزيادة المشاهدات ,الإعلان عبر منصة يوتيوب,يوتيوب,ألعاب,,,
,0.03,1,تحميل التطبيق,,,عام,إعلان مروج لتحميل التطبيق,الإعلان عبر منصة يوتيوب,يوتيوب,رحلات,,,
,0.15,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة جوجل,جوجل,تقنية,,,
,0.04,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة جوجل,جوجل,أخبار,,,
,0.06,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة لينكد إن,لينكد ان,عملات رقمية,,,
,0.06,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة لينكد إن,لينكد ان,,,,
,0.5,1,المشاهدات,,,عام,إعلان مروج لزيادة المشاهدات ,الإعلان عبر منصة لينكد إن,لينكد ان,,,,
,0.25,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة جاكو,جاكو,,,,
,0.1,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة جاكو,جاكو,,,,
,0.2,1,المشاهدات,,,عام,إعلان مروج لزيادة المشاهدات ,الإعلان عبر منصة جاكو,جاكو,,,,
,0.23,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر منصة جوجل,محرك بحث جوجل,,,,
,0.09,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر منصة جوجل,محرك بحث جوجل,,,,
,0.08,1,الظهور,,,عام,إعلان مروج لزيادة الظهور,الإعلان عبر محرك بحث أبل,محرك بحث ابل,,,,
,0.03,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر محرك بحث أبل,محرك بحث ابل,,,,
,0.03,1,النقرات,,,عام,إعلان مروج لزيادة النقرات ,الإعلان عبر محرك بحث أبل,محرك بحث ابل,,,,
