المؤشر,المنشور,التغطية (حضوري),التغطية (عن بعد),المنطقة,المنصة,المجال,المتابعين,المعرف,الحساب,Unnamed: 10,Unnamed: 11,إخ,Unnamed: 13
ظهور,,145000,99999,المنطقة الجنوبية,يوتيوب,ألعاب ، مطاعم ، ترفيه ، عام,1700000,بندرتا,youtube,,تويتر,إإخباري,
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,2160000,ابو عمر,youtybe,,سناب شات,,
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,1280000,عادل,youtube,,تيك توك,,
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,1280000,عبدالاله للي,youtube,,فيس بوك,,شخصي
ظهور,,145000,99999,,يوتيوب,ألعاب ، ترفيه ، عام,620000,فوازfzx,youtube,,يوتيوب,,إخباري
ظهور,,145000,99999,المنطقة الجنوبية,يوتيوب,ألعاب ، ترفيه ، عام,1100000,نوافxy,youtube,,جوجل,,منوعات
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,2180000,رائد,youtube,,لينكد ان,,
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,2750000,عزيز,youtube,,جاكو,,
ظهور,,145000,99999,,يوتيوب,ألعاب ، ترفيه ، عام,"184000",ابوعبير,youtube,,,,
ظهور,,145000,99999,,يوتيوب,ألعاب ، ترفيه ، عام,"1110000",دربحه,youtube,,,,
ظهور,,145000,99999,المنطقة الشرقية,يوتيوب,ألعاب ، ترفيه ، عام,"8880000",صالح اوبلز,youtube,,,,
ظهور,,145000,99999,الرياض,يوتيوب,ألعاب ، ترفيه ، عام,"1120000",اودين,youtube,,,,
ظهور,,145000,99999,الرياض,تيك توك,عطور ، ترفيه ، ملابس ، عام,1000000,مصعب المالكي,tiktok,,,,
ظهور,,145000,99999,الرياض,تيك توك,موروث ، ترفيه ، عام,960000,سعيد الوهيبي,tiktok,,,,
ظهور,,145000,99999,الرياض,تيك توك,مطاعم ، ترفيه ، عام,358000,ابودخيل,tiktok,,,,
ظهور,,145000,99999,الرياض,تيك توك,عطور ، مطاعم ، ملابس ، ترفيه ، فعاليات، عام,345000,فيصل بن خالد,tiktok,,,,
ظهور,,145000,99999,الرياض,تيك توك,عطور ، مطاعم ، ملابس ، ترفيه ، سفر ، عام,389000,مشعل خالد,tiktok,,,,
